customer_id,age,gender,education,income,purchase_amount,purchase_date,product_category,rating,discount_percent,shipping_cost,total_cost,discount_amount,final_price,price_per_rating,income_purchase_ratio,age_squared,spending_power_index,education_encoded,gender_Female,gender_Male,gender_Other,product_category_Books,product_category_Clothing,product_category_Electronics,product_category_Food,product_category_Home,age_group,income_bracket,purchase_category,rating_category,discount_tier,price_quartile,spending_ratio_bin,purchase_date_year,purchase_date_month,purchase_date_month_name,purchase_date_day,purchase_date_day_of_week,purchase_date_day_name,purchase_date_quarter,purchase_date_week_of_year,purchase_date_is_weekend,purchase_date_is_month_start,purchase_date_is_month_end,purchase_date_days_since_epoch,purchase_date_season,purchase_date_days_from_today,purchase_date_is_recent,income_anomaly_zscore,income_anomaly_iqr,income_is_anomaly,purchase_amount_anomaly_zscore,purchase_amount_anomaly_iqr,purchase_amount_is_anomaly,final_price_anomaly_zscore,final_price_anomaly_iqr,final_price_is_anomaly,age_anomaly_zscore,age_anomaly_iqr,age_is_anomaly,rating_anomaly_zscore,rating_anomaly_iqr,rating_is_anomaly,discount_percent_anomaly_zscore,discount_percent_anomaly_iqr,discount_percent_is_anomaly,shipping_cost_anomaly_zscore,shipping_cost_anomaly_iqr,shipping_cost_is_anomaly,total_cost_anomaly_zscore,total_cost_anomaly_iqr,total_cost_is_anomaly,discount_amount_anomaly_zscore,discount_amount_anomaly_iqr,discount_amount_is_anomaly,price_per_rating_anomaly_zscore,price_per_rating_anomaly_iqr,price_per_rating_is_anomaly,anomaly_score,has_any_anomaly
11,36,Male,Master,408574,9257.615023209384,2025-10-12 15:09:28.484933,Home,2.0,14.74,28.56,9286.175023209384,1364.57,7921.61,3960.8,2.27,1296,11.35,2,False,True,False,False,False,False,False,True,36-50,High,Very High,Poor,Low Discount,Q4,"(-0.0139, 4.784]",2025,10,October,12,6,Sunday,4,41,1,0,0,20373,Fall,128,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5,1
12,40,Female,High School,110517,4280.13,2025-04-13 15:09:28.484936,Home,1.3,17.73,37.27,4317.400000000001,758.87,3558.53,2737.33,3.87,1600,2.76,0,True,False,False,False,False,False,False,True,36-50,High,Very High,Poor,Low Discount,Q4,"(-0.0139, 4.784]",2025,4,April,13,6,Sunday,2,15,1,0,0,20191,Spring,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
13,28,Male,Bachelor,85450,1143.63,2026-02-15 15:09:28.484939,Home,3.7,28.23,18.95,1162.5800000000002,322.85,839.73,226.95,1.34,784,3.05,1,False,True,False,False,False,False,False,True,26-35,Upper-Middle,High,Good,Medium Discount,Q1,"(-0.0139, 4.784]",2026,2,February,15,6,Sunday,1,7,1,0,0,20499,Winter,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,Other,Master,30382,4186.84,2025-06-21 15:09:28.484942,Books,3.4,12.62,15.14,4201.9800000000005,528.38,3673.6,1080.47,13.78,784,1.09,2,False,False,True,True,False,False,False,False,26-35,Lower-Middle,Very High,Good,Low Discount,Q4,"(9.558, 14.332]",2025,6,June,21,5,Saturday,2,25,1,0,0,20260,Summer,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,41,Other,Master,24437,1403.59,2025-10-20 15:09:28.484945,Clothing,2.7,45.76,22.97,1426.56,642.28,784.28,290.47,5.74,1681,0.6,2,False,False,True,False,True,False,False,False,36-50,Low,High,Fair,High Discount,Q1,"(4.784, 9.558]",2025,10,October,20,0,Monday,4,43,0,0,0,20381,Fall,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,70,Male,Bachelor,90971,3217.98,2025-11-08 15:09:28.484948,Food,2.7,13.28,40.9,3258.88,427.35,2831.53,1048.71,3.54,4900,1.3,1,False,True,False,False,False,False,True,False,65+,Upper-Middle,Very High,Fair,Low Discount,Q3,"(-0.0139, 4.784]",2025,11,November,8,5,Saturday,4,45,1,0,0,20400,Fall,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,53,Male,PhD,84612,3473.81,2026-01-11 15:09:28.484951,Home,4.1,44.79,46.5,3520.31,1555.92,1964.39,479.12,4.11,2809,1.6,3,False,True,False,False,False,False,False,True,51-65,Upper-Middle,Very High,Excellent,High Discount,Q3,"(-0.0139, 4.784]",2026,1,January,11,6,Sunday,1,2,1,0,0,20464,Winter,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,57,Other,Bachelor,110355,2568.15,2025-03-14 15:09:28.484954,Home,1.8,5.17,27.25,2595.4,132.77,2462.63,1368.13,2.33,3249,1.94,1,False,False,True,False,False,False,False,True,51-65,High,Very High,Poor,No Discount,Q3,"(-0.0139, 4.784]",2025,3,March,14,4,Friday,1,11,0,0,0,20161,Spring,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,41,Female,Bachelor,81929,1533.5,2025-10-08 15:09:28.484957,Clothing,4.3,32.83,33.07,1566.57,503.45,1063.12,247.24,1.87,1681,2.0,1,True,False,False,False,True,False,False,False,36-50,Upper-Middle,High,Excellent,Medium Discount,Q2,"(-0.0139, 4.784]",2025,10,October,8,2,Wednesday,4,41,0,0,0,20369,Fall,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,Male,High School,122411,1071.1,2025-07-31 15:09:28.484960,Home,3.6,45.35,45.16,1116.26,485.74,630.52,175.14,0.88,400,6.12,0,False,True,False,False,False,False,False,True,18-25,High,High,Good,High Discount,Q1,"(-0.0139, 4.784]",2025,7,July,31,3,Thursday,3,31,0,0,1,20300,Summer,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,39,Male,High School,117518,175.61,2025-03-07 15:09:28.484963,Books,2.7,8.44,4.93,180.54000000000002,14.82,165.72,61.38,0.15,1521,3.01,0,False,True,False,True,False,False,False,False,36-50,High,Low,Fair,No Discount,Q1,"(-0.0139, 4.784]",2025,3,March,7,4,Friday,1,10,0,0,0,20154,Spring,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,70,Other,PhD,118864,1526.69,2026-01-28 15:09:28.484965,Books,2.8,48.42,11.6,1538.29,739.22,799.07,285.38,1.28,4900,1.7,3,False,False,True,True,False,False,False,False,65+,High,High,Fair,High Discount,Q1,"(-0.0139, 4.784]",2026,1,January,28,2,Wednesday,1,5,0,0,0,20481,Winter,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,19,Male,Master,231589,9447.85977431626,2025-06-21 15:09:28.484968,Home,2.0,22.64,35.45,9483.309774316262,2139.0,7344.31,3672.16,4.08,361,12.19,2,False,True,False,False,False,False,False,True,18-25,High,Very High,Poor,Low Discount,Q4,"(-0.0139, 4.784]",2025,6,June,21,5,Saturday,2,25,1,0,0,20260,Summer,241,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5,1
24,41,Female,Bachelor,145605,4692.14,2025-11-01 15:09:28.484971,Clothing,4.0,47.29,41.19,4733.33,2218.91,2514.42,628.6,3.22,1681,3.55,1,True,False,False,False,True,False,False,False,36-50,High,Very High,Good,High Discount,Q3,"(-0.0139, 4.784]",2025,11,November,1,5,Saturday,4,44,1,1,0,20393,Fall,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,61,Other,PhD,45169,4357.31,2025-04-21 15:09:28.484974,Clothing,3.1,33.84,42.85,4400.160000000001,1474.51,2925.65,943.76,9.65,3721,0.74,3,False,False,True,False,True,False,False,False,51-65,Lower-Middle,Very High,Good,Medium Discount,Q3,"(9.558, 14.332]",2025,4,April,21,0,Monday,2,17,0,0,0,20199,Spring,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,47,Male,High School,107468,3832.66,2025-11-26 15:09:28.484977,Clothing,2.3,15.08,20.76,3853.42,577.97,3275.45,1424.11,3.57,2209,2.29,0,False,True,False,False,True,False,False,False,36-50,High,Very High,Fair,Low Discount,Q4,"(-0.0139, 4.784]",2025,11,November,26,2,Wednesday,4,48,0,0,0,20418,Fall,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,55,Other,Bachelor,54594,3944.35,2025-11-27 15:09:28.484980,Electronics,3.4,9.42,4.47,3948.8199999999997,371.56,3577.26,1052.14,7.22,3025,0.99,1,False,False,True,False,False,True,False,False,51-65,Middle,Very High,Good,No Discount,Q4,"(4.784, 9.558]",2025,11,November,27,3,Thursday,4,48,0,0,0,20419,Fall,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,19,Male,Master,96957,3328.27,2025-05-03 15:09:28.484982,Home,5.0,15.19,21.89,3350.16,505.56,2844.6,568.92,3.43,361,5.1,2,False,True,False,False,False,False,False,True,18-25,Upper-Middle,Very High,Excellent,Low Discount,Q3,"(-0.0139, 4.784]",2025,5,May,3,5,Saturday,2,18,1,0,0,20211,Spring,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,77,Male,High School,80631,1308.83,2025-12-11 15:09:28.484985,Clothing,2.7,4.65,11.54,1320.37,60.86,1259.51,466.49,1.62,5929,1.05,0,False,True,False,False,True,False,False,False,65+,Upper-Middle,High,Fair,No Discount,Q2,"(-0.0139, 4.784]",2025,12,December,11,3,Thursday,4,50,0,0,0,20433,Winter,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,38,Male,High School,212026,10897.482406368124,2025-10-12 15:09:28.484988,Books,4.7,7.19,14.56,10912.042406368124,783.53,10128.51,2155.0,5.14,1444,5.58,0,False,True,False,True,False,False,False,False,36-50,High,Very High,Excellent,No Discount,Q4,"(4.784, 9.558]",2025,10,October,12,6,Sunday,4,41,1,0,0,20373,Fall,128,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1
31,50,Female,High School,83133,3356.95,2025-08-06 15:09:28.484991,Food,2.4,5.23,38.61,3395.56,175.57,3219.99,1341.66,4.04,2500,1.66,0,True,False,False,False,False,False,True,False,36-50,Upper-Middle,Very High,Fair,No Discount,Q4,"(-0.0139, 4.784]",2025,8,August,6,2,Wednesday,3,32,0,0,0,20306,Summer,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,29,Female,PhD,93165,2806.6,2025-10-01 15:09:28.484994,Food,1.2,21.15,3.78,2810.38,593.6,2216.78,1847.32,3.01,841,3.21,3,True,False,False,False,False,False,True,False,26-35,Upper-Middle,Very High,Poor,Low Discount,Q3,"(-0.0139, 4.784]",2025,10,October,1,2,Wednesday,4,40,0,1,0,20362,Fall,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,75,Other,Master,93861,563.84,2025-05-11 15:09:28.484997,Clothing,1.8,39.78,41.38,605.22,224.3,380.92,211.62,0.6,5625,1.25,2,False,False,True,False,True,False,False,False,65+,Upper-Middle,Medium,Poor,Medium Discount,Q1,"(-0.0139, 4.784]",2025,5,May,11,6,Sunday,2,19,1,0,0,20219,Spring,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,39,Male,Bachelor,72290,2240.81,2025-04-12 15:09:28.485000,Food,2.7,7.07,21.38,2262.19,158.43,2103.76,779.17,3.1,1521,1.85,1,False,True,False,False,False,False,True,False,36-50,Middle,Very High,Fair,No Discount,Q3,"(-0.0139, 4.784]",2025,4,April,12,5,Saturday,2,15,1,0,0,20190,Spring,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,78,Male,PhD,114031,2307.19,2025-06-29 15:09:28.485003,Food,1.9,6.52,29.8,2336.9900000000002,150.43,2186.56,1150.82,2.02,6084,1.46,3,False,True,False,False,False,False,True,False,65+,High,Very High,Poor,No Discount,Q3,"(-0.0139, 4.784]",2025,6,June,29,6,Sunday,2,26,1,0,0,20268,Summer,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,61,Female,PhD,51750,4324.17,2026-01-26 15:09:28.485006,Electronics,1.0,32.17,4.48,4328.65,1391.09,2937.56,2937.56,8.36,3721,0.85,3,True,False,False,False,False,True,False,False,51-65,Middle,Very High,Poor,Medium Discount,Q3,"(4.784, 9.558]",2026,1,January,26,0,Monday,1,5,0,0,0,20479,Winter,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
37,42,Male,PhD,115155,2737.77,2025-09-18 15:09:28.485008,Books,4.7,9.86,16.87,2754.64,269.94,2484.7,528.66,2.38,1764,2.74,3,False,True,False,True,False,False,False,False,36-50,High,Very High,Excellent,No Discount,Q3,"(-0.0139, 4.784]",2025,9,September,18,3,Thursday,3,38,0,0,0,20349,Fall,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,66,Female,High School,60461,1908.2,2025-05-17 15:09:28.485011,Books,4.4,4.88,4.49,1912.69,93.12,1819.57,413.54,3.16,4356,0.92,0,True,False,False,True,False,False,False,False,65+,Middle,High,Excellent,No Discount,Q2,"(-0.0139, 4.784]",2025,5,May,17,5,Saturday,2,20,1,0,0,20225,Spring,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,44,Male,Master,93800,4884.23,2025-12-19 15:09:28.485014,Electronics,4.0,8.34,48.08,4932.3099999999995,407.34,4524.97,1131.24,5.21,1936,2.13,2,False,True,False,False,False,True,False,False,36-50,Upper-Middle,Very High,Good,No Discount,Q4,"(4.784, 9.558]",2025,12,December,19,4,Friday,4,51,0,0,0,20441,Winter,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,76,Other,PhD,98222,562.5,2025-04-05 15:09:28.485017,Electronics,1.7,46.19,40.36,602.86,259.82,343.04,201.79,0.57,5776,1.29,3,False,False,True,False,False,True,False,False,65+,Upper-Middle,Medium,Poor,High Discount,Q1,"(-0.0139, 4.784]",2025,4,April,5,5,Saturday,2,14,1,0,0,20183,Spring,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,59,Male,Bachelor,132020,2118.52,2025-12-28 15:09:28.485020,Food,1.5,41.07,22.98,2141.5,870.08,1271.42,847.61,1.6,3481,2.24,1,False,True,False,False,False,False,True,False,51-65,High,Very High,Poor,High Discount,Q2,"(-0.0139, 4.784]",2025,12,December,28,6,Sunday,4,52,1,0,0,20450,Winter,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,45,Male,Master,44226,219.7,2025-03-11 15:09:28.485023,Home,1.3,17.7,11.18,230.88,38.89,191.99,147.68,0.5,2025,0.98,2,False,True,False,False,False,False,False,True,36-50,Lower-Middle,Low,Poor,Low Discount,Q1,"(-0.0139, 4.784]",2025,3,March,11,1,Tuesday,1,11,0,0,0,20158,Spring,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,77,Female,Bachelor,26721,3702.12,2025-09-18 15:09:28.485026,Food,3.9,32.79,46.67,3748.79,1213.93,2534.86,649.96,13.85,5929,0.35,1,True,False,False,False,False,False,True,False,65+,Low,Very High,Good,Medium Discount,Q3,"(9.558, 14.332]",2025,9,September,18,3,Thursday,3,38,0,0,0,20349,Fall,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,33,Male,Master,76154,4591.2,2025-06-26 15:09:28.485028,Electronics,4.7,26.86,17.23,4608.429999999999,1233.2,3375.23,718.13,6.03,1089,2.31,2,False,True,False,False,False,True,False,False,26-35,Upper-Middle,Very High,Excellent,Medium Discount,Q4,"(4.784, 9.558]",2025,6,June,26,3,Thursday,2,26,0,0,0,20265,Summer,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,32,Male,Bachelor,40609,1407.39,2025-04-13 15:09:28.485031,Books,2.7,33.86,8.05,1415.44,476.54,938.9,347.74,3.47,1024,1.27,1,False,True,False,True,False,False,False,False,26-35,Lower-Middle,High,Fair,Medium Discount,Q1,"(-0.0139, 4.784]",2025,4,April,13,6,Sunday,2,15,1,0,0,20191,Spring,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,79,Female,High School,447174,11090.831022158813,2025-04-22 15:09:28.485034,Food,1.5,34.13,28.16,11118.991022158812,3785.3,7333.69,4889.13,2.48,6241,5.66,0,True,False,False,False,False,False,True,False,65+,High,Very High,Poor,Medium Discount,Q4,"(-0.0139, 4.784]",2025,4,April,22,1,Tuesday,2,17,0,0,0,20200,Spring,301,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,6,1
47,79,Other,PhD,92909,1468.17,2026-01-17 15:09:28.485037,Home,3.0,31.44,47.19,1515.3600000000001,461.59,1053.77,351.26,1.58,6241,1.18,3,False,False,True,False,False,False,False,True,65+,Upper-Middle,High,Fair,Medium Discount,Q2,"(-0.0139, 4.784]",2026,1,January,17,5,Saturday,1,3,1,0,0,20470,Winter,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,64,Other,Bachelor,124211,4554.74,2025-12-25 15:09:28.485040,Food,2.4,13.31,0.19,4554.929999999999,606.24,3948.69,1645.29,3.67,4096,1.94,1,False,False,True,False,False,False,True,False,51-65,High,Very High,Fair,Low Discount,Q4,"(-0.0139, 4.784]",2025,12,December,25,3,Thursday,4,52,0,0,0,20447,Winter,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,79,Female,Master,75249,3772.27,2025-03-03 15:09:28.485043,Clothing,2.5,1.95,11.91,3784.18,73.56,3710.62,1484.25,5.01,6241,0.95,2,True,False,False,False,True,False,False,False,65+,Upper-Middle,Very High,Fair,No Discount,Q4,"(4.784, 9.558]",2025,3,March,3,0,Monday,1,10,0,0,0,20150,Spring,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,68,Female,PhD,68895,4026.48,2026-01-13 15:09:28.485046,Food,3.5,22.78,46.92,4073.4,917.23,3156.17,901.76,5.84,4624,1.01,3,True,False,False,False,False,False,True,False,65+,Middle,Very High,Good,Low Discount,Q4,"(4.784, 9.558]",2026,1,January,13,1,Tuesday,1,3,0,0,0,20466,Winter,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,61,Female,PhD,114473,99.85,2025-10-31 15:09:28.485049,Electronics,3.9,44.55,8.55,108.39999999999999,44.48,63.92,16.39,0.09,3721,1.88,3,True,False,False,False,False,True,False,False,51-65,High,Very Low,Good,High Discount,Q1,"(-0.0139, 4.784]",2025,10,October,31,4,Friday,4,44,0,0,1,20392,Fall,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,72,Female,Master,25656,4814.42,2025-08-25 15:09:28.485052,Books,1.4,28.47,5.66,4820.08,1370.67,3449.41,2463.86,18.77,5184,0.36,2,True,False,False,True,False,False,False,False,65+,Low,Very High,Poor,Medium Discount,Q4,"(14.332, 19.106]",2025,8,August,25,0,Monday,3,35,0,0,0,20325,Summer,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
